,이성당,크리스마스,경암동,디저트,아메리카노,지린성,해수욕장,장자도,단팥빵,케이크,박물관,새만금,사진관,선유도,신흥동,칼국수,0,1
0,-1.0,,-0.13612651527126043,,,,,,,,-1.0,,-0.05575687413403552,,,,입장료,Noun
1,,,,,,,,,,,,,,,,,주차,Noun
2,,,,,,,,,,,,,,,,,무궁화호,Noun
3,,,,,,,,,,,,,,,,,국내,Noun
4,,,,,,,,,,,,,,,,,캘리그래피,Noun
5,,,,,,,,,,,,,,,,,메뉴,Noun
6,,,,,,,,,,,,,,,,,대합실,Noun
7,,,-1.0,,,,,,,,-1.0,,,-1.0,,,체험,Noun
8,0.589014214950694,0.8063414460415598,0.58808696130176,,,,1.0,,0.9094240304032148,,-0.4765141451589407,,-0.3027150079832661,0.045635336578645026,0.7813831366692034,,전통,Noun
9,,,,,,,,,,,,,,,,,계단,Noun
10,,,,,,,,,,,,,,,,,떡볶이,Noun
11,,,,,,,,,,,,,,,,,보고,Noun
12,,,,,,,,,,,,,,,,,제작,Noun
13,,0.9999999999999999,,,,,,,,,-0.9999999999999999,,-1.0,-1.0,-0.9999999999999999,,철길,Noun
14,,,,,,,,,,,,,,,,,도착,Noun
15,,,,,,,,,,,,,,,,,바다,Noun
16,,1.0,,,,,,,,,-1.0,,-1.0,,0.9535760273013254,,우체통,Noun
17,,,,,,,,,,,,,,,,,히로,Noun
18,,,,,,,,,,,,,,,,,운동,Noun
19,,,,,,,,,,,,,,,,,유원지,Adjective
20,,,,,,,,,,,1.0,,,,,,특별한,Adjective
21,,,,,,,,,,,,,,,,,다양한,Noun
22,,,,,,,,,,,,,,,,,모텔,Noun
23,,1.0,-0.9999999999999998,-1.0,,-0.9999999999999999,,,,0.9999999999999998,-0.9999999999999998,,0.5899302691291496,,-0.9999999999999998,,브런치,Noun
24,,,,,,,,,,,,,,,,,카페,Noun
25,0.9575744886469998,0.49790761132365086,0.974663689781256,1.0,,1.0,-1.0,,0.9669406997743419,,0.5616749812101381,,-0.244979186011361,0.297270897095877,0.9510507780262946,-0.9999999999999998,신창동,Noun
26,,,,,,,,,,,,,,,,,지린성,Noun
27,,,,,,,,,,,,,,,,,할아버지,Noun
28,,,,,,,,,,,,,,,,,바람,Noun
29,,,,,,,,,,,,,,,,,랍니,Noun
30,,,,,,,,,,,,,,,,,작가,Noun
31,,,,,,,,,,,,,,,,,객실,Noun
32,,0.9837658697797041,,,,,,,,,-0.8926806196539658,,0.9973752414352375,,-1.0,,상가,Noun
33,,,,,,,,,,,,,,,,,영화,Noun
34,,,,,,,,,,,,,,,,,관광,Noun
35,,,,,,,,,,,,,,,,,순이,Noun
36,0.9999999999999999,-0.9999999999999999,-0.5120515593868754,,,-1.0,,,1.0,,-0.5354682626507395,-1.0,-0.5876930489582702,-1.0,-1.0,,사실,Noun
37,,,,,,,,,,,,,,,,,호텔,Noun
38,,,,,,,,,,,,,,,,,여름,Noun
39,-0.9999999999999999,,,-1.0,,,,,,,,,1.0,,,,수어,Noun
40,,,,,,,,,,,1.0,,,,,,숙소,Noun
41,,1.0,1.0,,,,,,,,,,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,,위치,Noun
42,,,,,,,,,,,,,,,,,정도,Noun
43,,,0.7187248447029839,,,,-0.1283768841959391,,,,0.6453861603434462,,-1.0,0.9999999999999999,,,미술관,Noun
44,,,,,,,,,,,,,,,,,공원,Noun
45,,,,,,,,,,,,,,,,,남부,Noun
46,1.0,,0.3808873938974395,,,,0.9949959112165754,,,,0.715714879208505,,0.8618816788091597,0.7809578829041367,1.0,,반고흐,Noun
47,,,,,,,,,,,,,,,,,은파,Noun
48,,1.0,1.0,,,,-1.0,,,,0.18347143775272548,1.0,0.17756654214326922,-1.0,0.9999999999999998,,바위,Noun
49,0.05056772445688556,0.4034242251749975,1.0,,,,,,,,0.9329163441249084,-1.0,0.6152074922637415,1.0,0.9030107430464468,,전북,Noun
50,,,1.0,,,,0.9999999999999998,,,,1.0,,,1.0,,,가옥,Noun
51,,0.3155949504068876,1.0,1.0,,,0.9632133213216125,,,,0.9001824633003443,0.9761165508669861,-0.34034596519139837,0.9895835823374411,0.9972145366176347,1.0,지역,Noun
52,,,,,,,,,,,,,,,,,거리,Noun
53,,,,,,,,,,,,,,,,,브릭,Noun
54,,,,,,,,,,,,,,,,,남원시,Noun
55,,,-0.9999999999999999,,,,1.0,,,,-1.0,,,1.0,,,다리,Noun
56,,,,,,,,,,,,,,,,,생태,Noun
57,,,,,,,,,,,,,,,,,추억,Noun
