단어,빈도수
가건물,2
가격표,20
가고파쪙,1
가곡면,2
가공품,1
가구라,1
가구장이,1
가금면,1
가까스로,2
가까이,113
가난뱅이,1
가넝할수,1
가넝했꼬,1
가넝했어,2
가논데졈그를셰,1
가능성,8
가다가,14
가덕도,2
가드닝,12
가디건,2
가뜩이나,4
가람이,1
가랍집,3
가랑비,2
가래떡,147
가려진,2
가렴주구,2
가로등,8
가로막,2
가로수,3
가로수길,2
가로수로,1
가르침,2
가리비,1
가리산,2
가마니,2
가마솥,56
가마치,1
가사문학,5
가산면,1
가산산성,1
가상현,1
가상현실,1
가쉽걸,1
가스레인지,2
가스렌지,1
가슴속,1
가습기,1
가시도,1
가시선,1
가시연,7
가시오가피,1
가야금,6
가야산,1
가오니,6
가위바위보,5
가위손,4
가을로,6
가을비,2
가이드,28
가이드라인,1
가이드북,2
가입자,1
가자미,9
가장자리,10
가정식,14
가정역,1
가정은,1
가족룸,6
가족사진,5
가족손님,2
가좌동,1
가죽공예,2
가즈앙,1
가지각색,2
가지산,1
가집행,1
가짓수,21
가파르,1
가파르기,1
가파른,21
가파른곳,1
가평군,2
가현지,1
가회면,1
각거리,1
각도기,8
각설탕,2
각양각색,6
간간이,5
간단명료,1
간동면,1
간사이,4
간사장,1
간성읍,2
간소화,2
간장게장,17
간절곶,2
간짜장,31
갈라고,1
갈림길,16
갈매기,2
갈매기살,4
갈무리,1
갈비살,19
갈비찜,116
갈비탕,48
갈빗대,5
갈수록,16
갈참나무,5
갈팡질팡,2
감곡면,2
감나무,43
감미료,3
감빠스,2
감성샷,2
감수성,2
감악산,2
감염병,2
감염증,13
감자전,3
감자칩,3
감자탕,47
감쟈합,1
감정동,5
감지기,1
감축된,1
감칠맛,73
감탄사,16
감포읍,1
갑각류,2
갑니댜,1
갑신정변,1
갑오개혁,1
갑오년,2
갑오동학혁명,10
갑오징어,2
갑천면,1
값어치,6
갓김치,13
갓난아기,1
갓바위,3
갔숩니,1
갔슴다,1
강강술래,1
강경시장,1
강남구,1
강냉이,1
강동면,2
강된장,15
강릉시,9
강박증,1
강서구,3
강설량,2
강수량,3
강수연,1
강아지,89
강아지풀,1
강우량,1
강원도,40
강원랜드,1
강쟁리,1
강정은,1
강진군,6
강진면,1
강진읍,2
강천사,7
강천산,27
강청리,1
강추끗,1
강추욤,1
강하니,1
강현성,1
강화군,11
강화도,6
강화유리,1
갖가지,15
같기듀,1
같드라구,1
같슴당,1
같아욬,2
같이펀딩,1
개개인,1
개구리,15
개구쟁이,1
개그맨,1
개꾸르맛,1
개꿀잼,1
개나리,4
개똥이,2
개막식,7
개망초,3
개발도상국,1
개발자,1
개수대,99
개양귀비,1
개이득,3
개인정보,3
개인정보보호법,1
개인화,1
개정면,1
개존맛,1
개진면,1
개천절,4
개혁운동,1
개혜잔데,1
갤러리,46
갤러리아,1
갤럭시,8
갬동쓰,1
갬성갱듀,1
갬성샷,4
갯마을,1
갱년기,2
갱얼쥐,1
갸토캔,1
거가대교,1
거꾸로,1
거랍니,7
거래처,1
거렸는데,1
거린데,1
거무스름,1
거문고,5
거문오름,1
거미줄,6
거북선,1
거북이,7
거슬러,4
거슬러가,1
거실홥,1
거울샷,1
거울셀카,2
거제도,2
거제시,9
거주소,1
거주지,2
거진읍,1
거진항,1
거짓말,31
거창군,3
건강검진,2
건과류,4
건국대,1
건너편,83
건넌방,1
건넛편,1
건녀펀,1
건더기,54
건망증,1
건문제,1
건어물,2
건입동,1
건전지,2
건조대,2
건조물,1
건지산,1
건축가,1
건축물,12
건폐율,1
걸음걸이,2
검둥이,1
검문소,1
검색어,3
검은색,12
검정색,3
검찰청,1
검침원,1
겁쟁이,3
것이므,1
겉모습,5
겉바속쫀,2
겉바속쫄,1
겉보기,6
겉절이,26
게다가,108
게란찜,1
게스트,2
게스트하우스,17
게시판,4
게으름,2
게이고,1
게이머,1
게이샤,1
게이트,3
게이트볼,1
게임기,4
겟어뇨,1
겟하십숑,2
겨드랑이,1
겨우내,3
겨우살이,6
겨울방학,4
겨울비,1
겨울왕국,1
겨울철,5
겨울철새,1
격포리,2
격포방향,1
격포항,5
격황소서,1
견과류,39
견생샷,1
견주들,1
견지하,1
결과물,6
결벽증,1
결승전,1
결정전,9
결혼기념일,4
결혼식,11
결혼식장,1
겸사겸사,16
겹겹이,5
경기도,25
경기장,10
경덕왕,5
경로당,6
경보기,1
경복궁,3
경비실,1
경사면,3
경산시,1
경상남도,9
경상도,2
경상북도,13
경서동,1
경옥고,3
경운기,1
경인아라뱃길,1
경작지,3
경쟁력,9
경쟁률,1
경쟁심,1
경전선,1
경제력,2
경제체제,1
경제활동,3
경조사,2
경주시,9
경주엑스포,1
경주읍성,1
경주이씨,1
경찰서,45
경찰차,1
경찰청,1
경춘선,2
경포대,5
경포호,5
곁가지,1
계란노른자,3
계란말이,13
계란빵,3
계란찜,55
계란프라이,3
계란후라이,11
계룡산,5
계산동성당,2
계산성당,1
계수기,6
계수영,1
계약금,2
계양구,1
계양산,1
계원필경,1
계유년,1
고가도,1
고고싱,9
고고씽,20
고고학,1
고구려,4
고구마,90
고군면,3
고군산군도,12
고규홍,1
고금도,4
고기랑,36
고기만,21
고기잡이,4
고깃집,36
고냥이,11
고느넉히,1
고달면,1
고대로,2
고동색,1
고드름,1
고등어,31
고등학교,32
고등학생,16
고라니,2
고래고래,1
고려가요,1
고려사,6
고려사절요,1
고려시대,16
고려인,1
고려조,1
고려청자,1
고령군,5
고령화,3
고로면,1
고로쇠나무,1
고로케,13
고르곤졸라,26
고마움,3
고먐미,2
고모부,10
고무신,1
고무줄,6
고문서,2
고부군,6
고부면,10
고사리,13
고사성어,1
고사하고,2
고삼면,1
고서면,2
고석정,1
고성군,12
고성능,1
고성만,1
고소공포증,2
고속도로,66
고속버스,57
고스트,1
고슬고슬,4
고슴도치,1
고아원,1
고얌미,1
고양시,2
고양이,237
고영희,6
고요한,4
고요함,2
고용노동부,1
고우리,9
고운동,1
고유종,1
고은님,1
고은아,1
고인돌,80
고정력,1
고정문,1
고정원,2
고지도,2
고지인,1
고지혈증,1
고집불통,1
고창군,33
고창읍,11
고창읍성,21
고창현,1
고추가,13
고추기름,2
고추나무,1
고추냉이,6
고추잠자리,2
고추장,56
고춧가루,17
고춧잎,2
고타마,1
고품격,7
고학년,1
고한읍,1
고향이,11
고현동,1
고혈압,1
고흥군,4
곡성군,5
곡성역,3
곡성읍,1
곤줄박이,1
곤지암,7
곧바로,11
골골거렸던,1
골동품,6
골랐닼,1
골랐쯈,1
골목길,47
골뱅이,4
골짜기,14
골칫거리,1
골키퍼,1
골품제,1
골프장,88
곰나루,1
곰돌이,9
곰소항,7
곰인형,6
곰팅이,2
곰팡이,3
곱깨비,14
곱돌밑,1
곱돌잔,1
곱빼기,4
곱창전골,6
곱하기,2
곳곳이,30
곳이므,1
곳이죵,2
공간활용,2
공공교통,1
공공기관,3
공공미술,1
공공시설,5
공급원,2
공기놀이,1
공기밥,39
공기업,1
공기청정기,11
공도읍,2
공동우,2
공동체,21
공모전,7
공무원,5
공북루,1
공산군,1
공산성,4
공산품,1
공실이,1
공연장,9
공예품,5
공원로,1
공주시,8
공중부양,1
공중위생,1
공중전화,5
공중파,5
공중화장실,5
공지천,1
공직자,3
공청회,3
공통점,6
공평동,3
공포영화,1
공항대로,1
공현진항,1
공화국,17
공휴일,24
곶자왈,1
과거시험,1
과수원,3
과태료,1
과테말라,1
과학관,137
과학기술,2
과학로,1
곽촌리,1
관개용수,1
관계도,2
관계자,24
관광가이드,1
관광농업,1
관광단지로,1
관광도로,1
관광명소,31
관광버스,2
